City,Site,Site Name,Category Desc.,Long Class Desc.,Art. No,Article Desc.,Quantity,Date,Formatted Date,Net Revenue,Product Name,Channel,Gross Revenue
Chennai,A146,Chennai-Mogappair,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,-1,01.04.2022,1-Apr-22,-2299,829BK Bluetooth Controller 4 (EGP4),Offline,-2599
BHIWANDI,E001,E001 Bhiwandi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,02.04.2022,2-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Chennai,A097,Chennai-PMC Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.04.2022,2-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Kolhapur,A164,Kolhapur-StarBazaar,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.04.2022,2-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Hyderabad,A169,Hyderabad-Sarath City Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,02.04.2022,2-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Chennai,A097,Chennai-PMC Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,03.04.2022,3-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,04.04.2022,4-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,05.04.2022,5-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Hyderabad,A152,Hyderabad-Attapur,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,06.04.2022,6-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,A112,Delhi-Select City Walk,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,07.04.2022,7-Apr-22,9999,562MM Evo Fox Game Box Bundle,Offline,10999
Navi Mumbai,A009,Navi Mumbai-Belapur,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,09.04.2022,9-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,11.04.2022,11-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Rajahmundry,A224,Rajahmundry-RTC Complex Road,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,0,11.04.2022,11-Apr-22,0,562MM Evo Fox Game Box Bundle,Offline,0
BHIWANDI,E001,E001 Bhiwandi DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,12.04.2022,12-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Mysore,A173,Mysore-Double Road,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,13.04.2022,13-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,A089,Delhi-Preet Vihar,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,14.04.2022,14-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Mumbai,A035,Mumbai-Ghatkopar Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,15.04.2022,15-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Mysore,A173,Mysore-Double Road,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,15.04.2022,15-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,E002,E002 Delhi DC,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,16.04.2022,16-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Online,1999
Gurugram,A120,Gurugram-Sector 29,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,16.04.2022,16-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Ghaziabad,A024,Ghazibad-Aditya Mall,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,17.04.2022,17-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A055,Delhi-Connaught Place,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,17.04.2022,17-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
New Delhi,A112,Delhi-Select City Walk,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,17.04.2022,17-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Gurugram,A118,Gurugram-Sector 49,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,17.04.2022,17-Apr-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Hyderabad,A169,Hyderabad-Sarath City Mall,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,17.04.2022,17-Apr-22,9999,562MM Evo Fox Game Box Bundle,Offline,10999
Gurugram,A212,Gurugram-Worldmark 2,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,2,17.04.2022,17-Apr-22,1398,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,2398
Jaipur,A283,Jaipur-Vaishali Nagar,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,2,17.04.2022,17-Apr-22,698,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,1398
New Delhi,E002,E002 Delhi DC,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,18.04.2022,18-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Online,1999
Mohali,A162,Mohali-VR Mall,Input Devices,Mice,250881,Amkette EvoFox Phantom Pro WRGB GMG MSE,1,18.04.2022,18-Apr-22,799,795BK EvoFox Phantom Pro RGB Gaming Mouse USB,Offline,1099
BHIWANDI,E001,E001 Bhiwandi DC,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,19.04.2022,19-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Online,2599
New Delhi,A048,Delhi-SouthEx,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,19.04.2022,19-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Mumbai,A123,Mumbai-PMC Kurla Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,19.04.2022,19-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Jalandar,A163,Jalandhar-Lajpat Nagar,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,19.04.2022,19-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Jaipur,A168,Jaipur-WTP Mall,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,19.04.2022,19-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
BHIWANDI,E001,E001 Bhiwandi DC,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,-1,21.04.2022,21-Apr-22,-2299,829BK Bluetooth Controller 4 (EGP4),Online,-2599
New Delhi,A051,Delhi-Airport Terminal 3 Domes,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,21.04.2022,21-Apr-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
New Delhi,A055,Delhi-Connaught Place,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,21.04.2022,21-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Chandigarh,A080,Chandigarh-Sector 22B,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,21.04.2022,21-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Junagadh,A200,Junagadh-Timbawadi Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,21.04.2022,21-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bharuch,A210,Bharuch-Dahej Bypass Road,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,21.04.2022,21-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Rajkot,A036,Rajkot-Crystal Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,22.04.2022,22-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
New Delhi,A131,Delhi-Rohini West Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,22.04.2022,22-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bharuch,A210,Bharuch-Dahej Bypass Road,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,4,22.04.2022,22-Apr-22,2916,850PP Xcite Pro Keyboard & Mouse USB,Offline,3196
Indore,A233,Indore-Aerodrum Road,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,22.04.2022,22-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Surat,A217,Surat-VIP Road,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,23.04.2022,23-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Surat,A263,Surat-Kamrej,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,23.04.2022,23-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Surat,A263,Surat-Kamrej,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,23.04.2022,23-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Navi Mumbai,A009,Navi Mumbai-Belapur,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,2,23.04.2022,23-Apr-22,698,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,1398
Surat,A010,Surat-Ghoddod,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,23.04.2022,23-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Vadodara,A015,Vadodara-Centre Square Mall,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,23.04.2022,23-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Chennai,A037,Chennai-Anna Nagar,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,23.04.2022,23-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Surat,A053,Surat-Ripple,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,23.04.2022,23-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Bangalore,A073,Bangalore-Banshankari,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,23.04.2022,23-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Hyderabad,A091,Hyderabad-Kondapur,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,23.04.2022,23-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Mumbai,A092,Mumbai-Kandivali,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,23.04.2022,23-Apr-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Ahmedabad,A107,Ahmedabad-Ratna,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,23.04.2022,23-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Nashik,A108,Nashik-Solitario,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,23.04.2022,23-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Gurugram,A118,Gurugram-Sector 49,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,23.04.2022,23-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Vadodara,A139,Vadodara-Eva Mall,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,23.04.2022,23-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Mohali,A162,Mohali-VR Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,23.04.2022,23-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Visakhapatnam,A205,Vizag-Muralinagar,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,1,23.04.2022,23-Apr-22,779,146BK NeoCase Sleeve MP 450 14,Offline,1249
Vadodara,A223,Vadodara-OP Road,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,23.04.2022,23-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Navi Mumbai,A009,Navi Mumbai-Belapur,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,24.04.2022,24-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A258,Delhi-Pitampura,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,24.04.2022,24-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,E002,E002 Delhi DC,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,24.04.2022,24-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Online,1999
Surat,A217,Surat-VIP Road,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,24.04.2022,24-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,1,24.04.2022,24-Apr-22,779,146BK NeoCase Sleeve MP 450 14,Online,1249
Mumbai,A027,Mumbai-PMC Lower Parel Mall,Gaming Consoles and Accessories,PS4 Accessories,224360,Amkette Evo Gpad4 Smartphne edition,1,24.04.2022,24-Apr-22,2299,829BK Bluetooth Controller 4 (EGP4),Offline,2599
Chennai,A037,Chennai-Anna Nagar,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,24.04.2022,24-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
New Delhi,A044,Delhi-Rajouri,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,24.04.2022,24-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
Gurugram,A050,Gurugram-Dlf Mega Mall,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,24.04.2022,24-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
New Delhi,A051,Delhi-Airport Terminal 3 Domes,PC Accessories,Adaptors/Cables/Hubs,250417,Amkette 4 Port USB 3.0 Hub BLK,1,24.04.2022,24-Apr-22,929,416PP Super Speed Hub 4 Port USB 3.0,Offline,1499
Surat,A053,Surat-Ripple,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,24.04.2022,24-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Bangalore,A060,Bangalore-Marathahalli,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,24.04.2022,24-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Bangalore,A060,Bangalore-Marathahalli,PC Accessories,PC Add On,250877,Amkette EvoFox Falcon X35 MED SP MSE Pad,1,24.04.2022,24-Apr-22,349,595BK Evo Fox Falcon X35 Medium Speed Mouse Pad,Offline,699
New Delhi,A064,Delhi-East Of Kailash,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,24.04.2022,24-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A073,Bangalore-Banshankari,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,24.04.2022,24-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Chandigarh,A080,Chandigarh-Sector 22B,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,24.04.2022,24-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
New Delhi,A087,Delhi-Dwarka,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,24.04.2022,24-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Chennai,A097,Chennai-PMC Mall,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,24.04.2022,24-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Chennai,A097,Chennai-PMC Mall,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,24.04.2022,24-Apr-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Hyderabad,A134,Hyderabad-AS RaoNagar,Computer Bags,Sleeves/Cases,250421,Amkette Neo Case 14 Multi Pocket GRY,1,24.04.2022,24-Apr-22,779,146BK NeoCase Sleeve MP 450 14,Offline,1249
Jalandar,A163,Jalandhar-Lajpat Nagar,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,24.04.2022,24-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Bhopal,A188,Bhopal-Arera Colony,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,2,24.04.2022,24-Apr-22,2798,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,3998
Kolkata,A197,Kolkata-Rajarhat,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,24.04.2022,24-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Coimbatore,A199,Coimbatore-Laxmi Mills,PC Accessories,PC Add On,250878,Amkette EvoFox Falcon LX35 LED Mouse Pad,1,24.04.2022,24-Apr-22,999,596BK Evo Fox Falcon LX35 Medium Speed LED Mouse Pad,Offline,1999
Junagadh,A200,Junagadh-Timbawadi Road,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,24.04.2022,24-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Vadodara,A202,Vadodara-Kareli Baug,Input Devices,Keyboards,250875,Amkette EvoFox WarHammer Wired GMG KB,1,24.04.2022,24-Apr-22,1099,433BK EvoFox WarHammer Gaming Keyboard (USB),Offline,1499
Surat,A209,Surat-Parvat Patiya,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,24.04.2022,24-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Lucknow,A214,Lucknow-Aliganj,PC Accessories,PC Add On,250876,Amkette EvoFox Typhoon Cooling Pad 5Fans,1,24.04.2022,24-Apr-22,1399,649BK EvoFox Typhoon Laptop Cooling Pad,Offline,1999
Asansol,A229,Asansol-Bhagat Singh More,PC Accessories,PC Add On,250879,Amkette EvoFox Falcon X85 Large MSE/Desk,1,24.04.2022,24-Apr-22,699,597BK Evo Fox Falcon X85 Extra Large Speed Mouse Pad,Offline,1199
Ahmedabad,A004,Ahmedabad-Devarc,PC Accessories,PC Add On,250423,Amkette Ergo Laptop Stand 7 Levels,1,25.04.2022,25-Apr-22,759,650GR Ergo View Laptop Stand-Grey,Offline,899
Surat,A217,Surat-VIP Road,Input Devices,Keyboards,204737,AMKETTE Xcite Pro Keyboard & Mouse Combo,1,25.04.2022,25-Apr-22,729,850PP Xcite Pro Keyboard & Mouse USB,Offline,799
Bhiwandi,E024,E024 Ecom Bhiwandi new DC,Gaming Consoles and Accessories,PS4 Accessories,234876,Amkette Evo Gamebox,1,25.04.2022,25-Apr-22,9999,562MM Evo Fox Game Box Bundle,Online,10999
Thane,A017,Thane-Bhayander,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,25.04.2022,25-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Mumbai,A039,Mumbai-Sion,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,25.04.2022,25-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
Bangalore,A045,Bangalore-Indira Nagar,Input Devices,Keyboards,250874,Amkette EvoFox X-Team Wired GMG KB & MSE,1,25.04.2022,25-Apr-22,1349,432BK EvoFox X-Team Gaming Keyboard & Mouse (USB),Offline,1899
